locationid	dateforecastfor	dateforecastmade	maxtemp	mintemp	tempunit	conditions	conditionsicon
Edinburgh	2017-02-01	2017-02-01	10	6	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2017-02-03	2017-02-03	10	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-07	2017-02-07	4	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-04	2017-02-04	6	1	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2017-02-06	2017-02-06	6	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-05	2017-02-05	5	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-02-08	2017-02-08	6	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-02-11	2017-02-11	3	2	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-02-09	2017-02-09	3	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-02-10	2017-02-10	3	-1	C	Snow Showers	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-02-12	2017-02-12	3	2	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-02-13	2017-02-13	5	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-02-15	2017-02-15	11	7	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-14	2017-02-14	8	3	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-02-19	2017-02-19	11	9	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-02-16	2017-02-16	10	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-02-17	2017-02-17	8	7	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-02-18	2017-02-18	11	6	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-02-20	2017-02-20	12	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-02-22	2017-02-22	8	1	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-02-21	2017-02-21	11	4	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-02-23	2017-02-23	5	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-24	2017-02-24	7	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-02-25	2017-02-25	11	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-26	2017-02-26	10	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-27	2017-02-27	6	-1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-02-28	2017-02-28	7	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-03-01	2017-03-01	7	0	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-03-02	2017-03-02	8	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-03	2017-03-03	5	4	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-03-04	2017-03-04	6	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-05	2017-03-05	7	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-03-06	2017-03-06	9	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
